YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2017,2017,AZ,Arizona,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.1,4.1,,,3.7,4.5,Race/Ethnicity,Hispanic,,,,,,4,MTH,MTH1_0,MEAN,RACE,HIS,,,,
2012,2012,AR,Arkansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.9,3.9,,,3.4,4.4,Gender,Male,,,,,,5,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2011,2011,FL,Florida,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.7,4.7,,,4.4,5,Gender,Female,,,,,,12,MTH,MTH1_0,MEAN,GENDER,GENF,,,,
2018,2018,GA,Georgia,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.5,3.5,,,3.2,3.8,Gender,Male,,,,,,13,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2016,2016,ID,Idaho,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.3,4.3,,,3.9,4.7,Gender,Female,,,,,,16,MTH,MTH1_0,MEAN,GENDER,GENF,,,,
2012,2012,IL,Illinois,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,,,-,No data available,,,Race/Ethnicity,Hispanic,,,,,,17,MTH,MTH1_0,MEAN,RACE,HIS,,,,
2012,2012,IN,Indiana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.5,3.5,,,3.2,3.9,Gender,Male,,,,,,18,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2014,2014,IN,Indiana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4.1,4.1,,,3.9,4.4,Overall,Overall,,,,,,18,MTH,MTH1_0,MEAN,OVERALL,OVR,,,,
2016,2016,IN,Indiana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.6,3.6,,,3.2,3.9,Gender,Male,,,,,,18,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2013,2013,KS,Kansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,2.9,2.9,,,2.4,3.4,Race/Ethnicity,Hispanic,,,,,,20,MTH,MTH1_0,MEAN,RACE,HIS,,,,
2015,2015,KS,Kansas,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.2,3.2,,,2.7,3.6,Race/Ethnicity,Hispanic,,,,,,20,MTH,MTH1_0,MEAN,RACE,HIS,,,,
2017,2017,MT,Montana,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,4,4,,,3.6,4.4,Gender,Female,,,,,,30,MTH,MTH1_0,MEAN,GENDER,GENF,,,,
2018,2018,NV,Nevada,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.3,3.3,,,2.5,4.1,Race/Ethnicity,Hispanic,,,,,,32,MTH,MTH1_0,MEAN,RACE,HIS,,,,
2019,2019,NH,New Hampshire,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,3.7,3.7,,,3.2,4.1,Gender,Male,,,,,,33,MTH,MTH1_0,MEAN,GENDER,GENM,,,,
2018,2018,OK,Oklahoma,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,,Number,Mean,5.5,5.5,,,5,5.9,Gender,Female,,,,,,40,MTH,MTH1_0,MEAN,GENDER,GENF,,,,
